"dept_name","last_name","first_name","emp_no"
"Sales","Simmel","Bezalel","10002"
"Sales","Cappelletti","Kazuhito","10016"
"Sales","Swan","Bader","10034"
"Sales","Lenart","Uri","10041"
"Sales","Dredge","Yinghua","10050"
"Sales","Zschoche","Sanjiv","10053"
"Sales","Billingsley","Breannda","10060"
"Sales","Herber","Tse","10061"
"Sales","Brattka","Charlene","10068"
"Sales","Eugenio","Xinglin","10087"
"Sales","Syrzycki","Jungsoon","10088"
"Sales","Flasterstein","Sudharsan","10089"
"Sales","Desikan","Sailaja","10093"
"Sales","Morton","Hilari","10095"
"Sales","Sullins","Valter","10099"
"Sales","Heyers","Perla","10101"
"Sales","Baca","Dung","10107"
"Sales","Hiltgen","Syozo","10125"
"Sales","Pintelas","Zissis","10136"
"Sales","Azumi","Douadi","10148"
"Sales","Perry","Xiadong","10149"
"Sales","Lichtner","Itzchak","10151"
"Sales","Khasidashvili","Debatosh","10160"
"Sales","Litvinov","Valery","10178"
"Sales","Sidhu","Duro","10185"
"Sales","Ranta","Kazuhisa","10199"
"Sales","Ellozy","Yolla","10209"
"Sales","Ciolek","Tadahiko","10214"
"Sales","Duclos","Xiaobin","10215"
"Sales","Plessier","Xinglin","10226"
"Sales","Cesareni","Karoline","10228"
"Sales","Auria","Marko","10232"
"Sales","Bakhtari","Arunachalam","10234"
"Sales","Bade","Susumu","10236"
"Sales","Mandell","Yannis","10237"
"Sales","Pouyioutas","Wonhee","10243"
"Sales","Tempesti","Frederique","10248"
"Sales","Salinas","Zsolt","10253"
"Sales","Brattka","Shen","10254"
"Sales","Radhakrishnan","Irene","10256"
"Sales","Maraist","Mahendra","10262"
"Sales","Hartvigsen","Bedir","10270"
"Sales","Lieblein","Baocai","10273"
"Sales","Schwartzbauer","Isaac","10277"
"Sales","Seghrouchni","Dipayan","10291"
"Sales","Ghelli","Yucel","10292"
"Sales","Lorho","Petter","10296"
"Sales","Stentiford","Ipke","10299"
"Sales","Baer","Faiza","10302"
"Sales","Erie","Bernt","10304"
"Sales","Kilgour","Heng","10306"
"Sales","Holburn","Dzung","10308"
